Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.21      2.42     0.01      665     0.01     0.02  std::thread::_Invoker<std::tuple<void (DeltaSteppingParallel2::*)(std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > const&), DeltaSteppingParallel2*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > > >::_Invoker<void (DeltaSteppingParallel2::*)(std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > const&), DeltaSteppingParallel2*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >(void (DeltaSteppingParallel2::*&&)(std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > const&), DeltaSteppingParallel2*&&, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > >&&)
  0.21      2.42     0.01                             std::pair<int, double>* std::__uninitialized_move_if_noexcept_a<std::pair<int, double>*, std::pair<int, double>*, std::allocator<std::pair<int, double> > >(std::pair<int, double>*, std::pair<int, double>*, std::pair<int, double>*, std::allocator<std::pair<int, double> >&)
  0.21      2.43     0.01                             operator delete(void*, void*)
  0.00      2.43     0.00  5286477     0.00     0.00  std::__detail::_Node_iterator_base<std::pair<int const, double>, false>::_Node_iterator_base(std::__detail::_Hash_node<std::pair<int const, double>, false>*)
  0.00      2.43     0.00  4886136     0.00     0.00  GraphEdge&& std::forward<GraphEdge>(std::remove_reference<GraphEdge>::type&)
  0.00      2.43     0.00  3733949     0.00     0.00  std::remove_reference<std::pair<int, double>&>::type&& std::move<std::pair<int, double>&>(std::pair<int, double>&)
  0.00      2.43     0.00  3334066     0.00     0.00  std::__detail::_Hash_code_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      2.43     0.00  3302865     0.00     0.00  __gnu_cxx::__aligned_buffer<std::pair<int const, double> >::_M_addr()
  0.00      2.43     0.00  2558330     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, double> const*, std::vector<std::pair<int, double>, std::allocator<std::pair<int, double> > > >::operator*() const
  0.00      2.43     0.00  2547124     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, double>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_S_equals(unsigned long, std::__detail::_Hash_node_code_cache<false> const&)
  0.00      2.43     0.00  2511307     0.00     0.00  std::unordered_map<int, double, std::hash<int>, std::equal_to<int>, std::allocator<std::pair<int const, double> > >::find(int const&) const
  0.00      2.43     0.00  2443068     0.00     0.00  void __gnu_cxx::new_allocator<GraphEdge>::destroy<GraphEdge>(GraphEdge*)
  0.00      2.43     0.00  2443068     0.00     0.00  void std::allocator_traits<std::allocator<GraphEdge> >::construct<GraphEdge, GraphEdge>(std::allocator<GraphEdge>&, GraphEdge*, GraphEdge&&)
  0.00      2.43     0.00  2443068     0.00     0.00  void std::__relocate_object_a<GraphEdge, GraphEdge, std::allocator<GraphEdge> >(GraphEdge*, GraphEdge*, std::allocator<GraphEdge>&)
  0.00      2.43     0.00  1972172     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator*() const
