Vertex	Dijkstra	DeltaStepping	ParallelDeltaStepping
322	22.8454	22.8454	22.8454
323	21.7551	21.7551	21.7551
324	25.4912	25.4912	25.4912
325	20.8733	20.8733	20.8733
326	26.7973	26.7973	26.7973
327	24.4027	24.4027	24.4027
328	24.2803	24.2803	24.2803
329	26.8763	26.8763	26.8763
330	23.0413	23.0413	23.0413
331	15.9307	15.9307	15.9307
332	28.0578	28.0578	28.0578
333	30.6339	30.6339	30.6339
334	23.9616	23.9616	23.9616
335	23.0682	23.0682	23.0682
336	26.5018	26.5018	26.5018
337	23.884	23.884	23.884
338	25.805	25.805	25.805
339	24.4491	24.4491	24.4491
340	19.1843	19.1843	19.1843
341	23.8769	23.8769	23.8769
342	27.3507	27.3507	27.3507
343	28.2873	28.2873	28.2873
344	28.4176	28.4176	28.4176
345	23.9313	23.9313	23.9313
346	13.8638	13.8638	13.8638
347	27.4745	27.4745	27.4745
348	20.5609	20.5609	20.5609
349	25.513	25.513	25.513
350	28.7485	28.7485	28.7485
351	28.3334	28.3334	28.3334
352	30.6623	30.6623	30.6623
353	26.7756	26.7756	26.7756
354	20.6261	20.6261	20.6261
355	16.5585	16.5585	16.5585
356	19.4101	19.4101	19.4101
357	27.7787	27.7787	27.7787
358	25.9789	25.9789	25.9789
359	25.6405	25.6405	25.6405
360	24.2422	24.2422	24.2422
361	24.8795	24.8795	24.8795
362	15.0732	15.0732	15.0732
363	30.209	30.209	30.209
364	23.7103	23.7103	23.7103
365	22.2648	22.2648	22.2648
366	27.5085	27.5085	27.5085
367	28.2129	28.2129	28.2129
368	16.5795	16.5795	16.5795
369	28.3286	28.3286	28.3286
370	22.0696	22.0696	22.0696
371	25.6396	25.6396	25.6396
372	22.0399	22.0399	22.0399
373	18.7894	18.7894	18.7894
374	20.9576	20.9576	20.9576
375	20.0141	20.0141	20.0141
376	18.5354	18.5354	18.5354
377	26.6889	26.6889	26.6889
378	25.8869	25.8869	25.8869
379	29.1139	29.1139	29.1139
380	22.7009	22.7009	22.7009
381	21.1236	21.1236	21.1236
382	24.8524	24.8524	24.8524
383	21.2175	21.2175	21.2175
384	23.9602	23.9602	23.9602
385	18.787	18.787	18.787
386	27.2888	27.2888	27.2888
387	16.0511	16.0511	16.0511
388	34.9634	34.9634	34.9634
389	24.3493	24.3493	24.3493
390	20.3919	20.3919	20.3919
391	22.2616	22.2616	22.2616
392	15.0779	15.0779	15.0779
